Date,Hour,Demand_MW,Solar_MW,Wind_MW
1/1/2023,0,85.48843624,0,16.64062091
1/1/2023,1,85.21205763,0,16.45280617
1/1/2023,2,85.66240213,0,16.45280617
1/1/2023,3,86.01549511,0,16.59615197
1/1/2023,4,88.71394238,0,16.8556396
1/1/2023,5,90.21548235,0,16.8556396
1/1/2023,6,92.48373448,28.68607423,16.8556396
1/1/2023,7,94.13630186,26.36807502,16.8556396
1/1/2023,8,94.13873635,28.71725474,16.8556396
1/1/2023,9,94.16098405,28.71798509,16.8556396
1/1/2023,10,95.72905146,28.71871544,16.8556396
1/1/2023,11,95.73148595,28.71944578,16.8556396
1/1/2023,12,95.73392044,28.72017613,16.8556396
1/1/2023,13,95.73635493,28.72090648,16.8556396
1/1/2023,14,95.73878942,28.72163683,16.8556396
1/1/2023,15,95.74122391,28.72236717,16.8556396
1/1/2023,16,95.7436584,28.72309752,16.8556396
1/1/2023,17,95.74609289,28.72382787,16.8556396
1/1/2023,18,95.74852738,28.72455822,16.8556396
1/1/2023,19,92.64076537,28.72528856,16.8556396
1/1/2023,20,91.18581349,28.72601891,16.58408295
1/1/2023,21,89.79862015,24.0614545,16.58408295
1/1/2023,22,89.80105464,26.54140006,16.58408295
1/1/2023,23,88.13987141,26.6437682,12.61049275
1/2/2023,0,90.18344017,0,8.365345894
1/2/2023,1,88.29560121,0,4.120199044
1/2/2023,2,89.68766354,0,4.120199044
1/2/2023,3,89.69009803,0,4.120199044
1/2/2023,4,89.59537953,0,4.120199044
1/2/2023,5,90.62293163,0,4.120199044
1/2/2023,6,93.97302594,26.09216632,4.120199044
1/2/2023,7,93.97546043,28.66813579,4.120199044
1/2/2023,8,93.97789492,28.73478308,4.120199044
1/2/2023,9,95.74110012,28.73551342,4.120199044
1/2/2023,10,95.78747924,28.73624377,4.120199044
1/2/2023,11,95.78991373,28.73697412,4.120199044
1/2/2023,12,95.79234822,28.73770447,4.120199044
1/2/2023,13,95.79478271,28.73843481,4.120199044
1/2/2023,14,95.7972172,28.73916516,4.120199044
1/2/2023,15,95.79965169,28.73989551,4.120199044
1/2/2023,16,95.80208618,28.74062586,4.120199044
1/2/2023,17,95.80452067,28.7413562,4.120199044
1/2/2023,18,95.80695517,28.74208655,4.120199044
1/2/2023,19,95.80938966,28.7428169,4.120199044
1/2/2023,20,93.38833876,28.74354724,4.120199044
1/2/2023,21,88.2537225,28.74427759,4.120199044
1/2/2023,22,88.25615699,25.10977985,4.120199044
1/2/2023,23,87.05406099,21.04016217,6.853329313
1/3/2023,0,84.12380848,0,9.586459582
1/3/2023,1,86.54545807,0,12.31958985
1/3/2023,2,91.68494331,0,12.31958985
1/3/2023,3,88.8816532,0,12.31958985
1/3/2023,4,85.94026012,0,12.31958985
1/3/2023,5,88.56646194,0,12.31958985
1/3/2023,6,88.57316672,22.52831362,12.31958985
1/3/2023,7,88.57560121,28.28820155,12.31958985
1/3/2023,8,91.3837603,28.75231141,12.31958985
1/3/2023,9,95.53455286,28.75304176,12.31958985
1/3/2023,10,95.84590702,28.75377211,12.31958985
1/3/2023,11,95.84834151,28.75450245,12.31958985
1/3/2023,12,95.67763214,28.7552328,12.31958985
1/3/2023,13,95.68006663,28.75596315,12.31958985
1/3/2023,14,95.68250112,28.4969777,12.31958985
1/3/2023,15,95.68493561,28.75742384,12.31958985
1/3/2023,16,95.6873701,28.75815419,12.31958985
1/3/2023,17,95.86294846,28.75888454,12.31958985
1/3/2023,18,95.86538295,28.75961488,12.31958985
1/3/2023,19,93.37008612,28.76034523,12.31958985
1/3/2023,20,93.37252061,28.76107558,12.31958985
1/3/2023,21,92.46302477,25.01520895,12.31958985
1/3/2023,22,89.54070274,28.76253627,12.31958985
1/3/2023,23,89.54313723,27.39537113,13.63014039
1/4/2023,0,86.99221208,0,15.91577206
1/4/2023,1,86.99464658,0,16.51786905
1/4/2023,2,87.62600688,0,17.49327479
1/4/2023,3,88.41593757,0,17.39942685
1/4/2023,4,87.35983389,0,18.37119063
1/4/2023,5,92.41335934,0,18.01883147
1/4/2023,6,92.41579383,27.18057179,18.1136532
1/4/2023,7,92.70123284,28.7691094,18.82656021
1/4/2023,8,94.84092764,28.76983975,19.17989316
1/4/2023,9,95.90190031,28.77057009,19.18038006
1/4/2023,10,95.9043348,28.77130044,19.18086696
1/4/2023,11,95.90676929,28.77203079,19.18135386
1/4/2023,12,95.90920378,28.77276114,19.18184076
1/4/2023,13,95.91163827,28.77349148,19.18232765
1/4/2023,14,95.91407277,28.77422183,19.18281455
1/4/2023,15,95.91650726,28.77495218,19.18330145
1/4/2023,16,95.91894175,28.77568252,19.18378835
1/4/2023,17,95.92137624,28.77641287,19.18427525
1/4/2023,18,95.92381073,28.77714322,19.18476215
1/4/2023,19,95.92624522,28.77787357,19.18524904
1/4/2023,20,95.92867971,28.77860391,19.18573594
1/4/2023,21,95.78133627,28.77933426,19.18622284
1/4/2023,22,94.05544915,28.78006461,19.13678376
1/4/2023,23,94.05788364,28.55612806,18.56116346
1/5/2023,0,90.32436052,0,18.56165035
1/5/2023,1,87.29540684,0,17.36674402
1/5/2023,2,84.44468737,0,16.9328754
1/5/2023,3,84.59997015,0,15.93238501
1/5/2023,4,82.05116111,0,16.65303333
1/5/2023,5,83.98042841,0,16.81356844
1/5/2023,6,87.01425107,24.95904208,17.21199104
1/5/2023,7,90.01961745,26.07295053,17.73763571
1/5/2023,8,91.59752526,28.78736808,18.58853712
1/5/2023,9,94.15120329,28.78809843,19.19206562
1/5/2023,10,95.96276258,28.78882878,19.19255252
1/5/2023,11,95.96519707,28.78955912,19.19303941
1/5/2023,12,95.96763157,28.79028947,19.19352631
1/5/2023,13,95.97006606,28.79101982,19.19401321
1/5/2023,14,95.97250055,28.79175016,19.19450011
1/5/2023,15,95.97493504,28.79248051,19.19498701
1/5/2023,16,95.97736953,28.79321086,19.19547391
1/5/2023,17,95.97980402,28.79394121,19.1959608
1/5/2023,18,95.98223851,28.79467155,19.1964477
1/5/2023,19,95.00581203,28.7954019,19.1969346
1/5/2023,20,91.17014358,28.79613225,18.87113451
1/5/2023,21,91.15442458,27.32857114,17.59225376
1/5/2023,22,91.15685907,23.04043853,17.58668949
1/5/2023,23,89.44167004,28.77109304,15.40968755
1/6/2023,0,89.25421451,0,14.18560397
1/6/2023,1,90.90653508,0,11.6880416
1/6/2023,2,88.11139437,0,11.6880416
1/6/2023,3,87.41917744,0,11.6880416
1/6/2023,4,86.95515713,0,11.6880416
1/6/2023,5,84.38771794,0,11.6880416
1/6/2023,6,86.57836929,25.52731824,11.6880416
1/6/2023,7,89.39653247,23.19622905,11.6880416
1/6/2023,8,90.09361839,28.80489642,11.6880416
1/6/2023,9,92.2801312,28.80562676,11.6880416
1/6/2023,10,96.02119037,28.80635711,11.6880416
1/6/2023,11,96.02362486,28.80708746,11.6880416
1/6/2023,12,96.02605935,28.8078178,11.6880416
1/6/2023,13,96.02849384,28.80854815,11.6880416
1/6/2023,14,96.03092833,28.8092785,11.6880416
1/6/2023,15,96.03336282,28.81000885,11.6880416
1/6/2023,16,96.03579731,28.81073919,11.6880416
1/6/2023,17,96.0382318,28.81146954,11.6880416
1/6/2023,18,96.04066629,28.81219989,11.6880416
1/6/2023,19,94.65063612,28.81293024,11.6880416
1/6/2023,20,94.10932512,28.81366058,11.6880416
1/6/2023,21,94.10352968,26.72569393,11.6880416
1/6/2023,22,93.28110985,27.99950305,11.6880416
1/6/2023,23,93.12699295,28.80350672,13.92076118
1/7/2023,0,94.42920629,0,16.3764107
1/7/2023,1,88.68661278,0,18.85351104
1/7/2023,2,87.26029195,0,17.03269154
1/7/2023,3,88.08758076,0,16.60636716
1/7/2023,4,86.85836472,0,16.63774933
1/7/2023,5,85.51180736,0,18.27176008
1/7/2023,6,91.80301535,26.73866117,18.27068284
1/7/2023,7,93.24243509,26.65917791,18.27116974
1/7/2023,8,93.24486958,28.82242475,18.73439061
1/7/2023,9,94.23319855,28.8231551,19.21543673
1/7/2023,10,95.6773107,28.82388544,19.08182115
1/7/2023,11,95.67974519,28.22115462,19.08230805
1/7/2023,12,95.68217968,28.82534614,19.08279494
1/7/2023,13,95.68461417,28.82607649,19.21738432
1/7/2023,14,96.08935611,28.82680683,19.21787122
1/7/2023,15,96.0917906,28.82753718,19.21835812
1/7/2023,16,96.09422509,28.82826753,19.21884502
1/7/2023,17,96.09665958,28.82899788,19.21933192
1/7/2023,18,96.09909407,28.82972822,19.21981881
1/7/2023,19,95.08103639,28.83045857,19.22030571
1/7/2023,20,94.11112604,28.83118892,18.88062855
1/7/2023,21,91.3023465,27.30118101,18.55700051
1/7/2023,22,87.77114879,27.37413235,17.62041606
1/7/2023,23,87.77358328,24.61655891,12.74933217
1/8/2023,0,88.79650994,0,7.862036878
1/8/2023,1,89.53775767,0,3.587535681
1/8/2023,2,91.76691229,0,3.587535681
1/8/2023,3,92.75873265,0,3.587535681
1/8/2023,4,92.76116714,0,3.587535681
1/8/2023,5,92.76360163,0,3.587535681
1/8/2023,6,92.99956773,28.83849239,3.587535681
1/8/2023,7,93.58649612,28.83922274,3.587535681
1/8/2023,8,96.13317695,28.83995308,3.587535681
1/8/2023,9,96.05816167,28.84068343,3.587535681
1/8/2023,10,96.06059617,28.84141378,3.587535681
1/8/2023,11,96.06303066,28.72596948,3.587535681
1/8/2023,12,96.06546515,28.84287447,3.587535681
1/8/2023,13,96.06789964,28.84360482,3.587535681
1/8/2023,14,96.14778389,28.84433517,3.587535681
1/8/2023,15,96.15021838,28.84506552,3.587535681
1/8/2023,16,96.15265287,28.84579586,3.587535681
